,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,color
10665,European,1562.0,22054870.0,De Jager PL,Cognitive decline,replication,2011-11-03,GCST001311,Other trait,#d53e4f
10666,European,749.0,22054870.0,De Jager PL,Cognitive decline,initial,2011-11-03,GCST001311,Other trait,#d53e4f
10667,Other/Mixed,717.0,22054870.0,De Jager PL,Cognitive decline,replication,2011-11-03,GCST001311,Other trait,#99d594
10668,European,1562.0,22054870.0,De Jager PL,Cognitive decline,replication,2011-11-03,GCST001311,Biological process,#d53e4f
10669,European,749.0,22054870.0,De Jager PL,Cognitive decline,initial,2011-11-03,GCST001311,Biological process,#d53e4f
10670,Other/Mixed,717.0,22054870.0,De Jager PL,Cognitive decline,replication,2011-11-03,GCST001311,Biological process,#99d594
10671,Asian,222.0,22180457.0,Kiyotani K,Response to tamoxifen in breast cancer,replication,2011-12-16,GCST001357,Response to drug,#3288bd
10672,Asian,240.0,22180457.0,Kiyotani K,Response to tamoxifen in breast cancer,initial,2011-12-16,GCST001357,Response to drug,#3288bd
10673,Asian,62.0,22179738.0,Lai HM,Gout,initial,2011-12-16,GCST001356,Metabolic disorder,#3288bd
10674,European,472.0,22174390.0,Rankinen T,Heart rate variability traits,initial,2011-12-15,GCST001354,Cardiovascular measurement,#d53e4f
10675,European,3367.0,21908519.0,Huffman JE,N-glycan levels,initial,2011-12-15,GCST005046,Other measurement,#d53e4f
10676,European,8716.0,22170493.0,Ellinghaus E,Psoriatic arthritis,replication,2011-12-15,GCST001355,Immune system disorder,#d53e4f
10677,European,3967.0,22170493.0,Ellinghaus E,Psoriatic arthritis,initial,2011-12-15,GCST001355,Immune system disorder,#d53e4f
10678,African,496.0,22174851.0,Lingappa JR,HIV-1 viral setpoint,initial,2011-12-12,GCST001352,Biological process,#fc8d59
10679,African,496.0,22174851.0,Lingappa JR,HIV-1 viral setpoint,initial,2011-12-12,GCST001352,Other measurement,#fc8d59
10680,African,496.0,22174851.0,Lingappa JR,HIV-1 viral setpoint,initial,2011-12-12,GCST001352,Other disease,#fc8d59
10681,African,798.0,22174851.0,Lingappa JR,HIV-1 susceptibility,initial,2011-12-12,GCST001353,Immune system disorder,#fc8d59
10682,African,798.0,22174851.0,Lingappa JR,HIV-1 susceptibility,initial,2011-12-12,GCST001353,Other disease,#fc8d59
10683,Asian,5480.0,22158540.0,Wu C,Pancreatic cancer,replication,2011-12-11,GCST001350,Cancer,#3288bd
10684,Asian,2972.0,22158540.0,Wu C,Pancreatic cancer,initial,2011-12-11,GCST001350,Cancer,#3288bd
10685,Asian,35873.0,22158537.0,Cho YS,Type 2 diabetes,replication,2011-12-11,GCST001351,Metabolic disorder,#3288bd
10686,Asian,15000.0,22158537.0,Cho YS,Type 2 diabetes,initial,2011-12-11,GCST001351,Metabolic disorder,#3288bd
10687,Asian,2034.0,22158537.0,Cho YS,Type 2 diabetes,initial,2011-12-11,GCST001351,Metabolic disorder,#3288bd
10688,Asian,1783.0,22158537.0,Cho YS,Type 2 diabetes,initial,2011-12-11,GCST001351,Metabolic disorder,#3288bd
10689,European,557.0,22156575.0,Paus T,Brain development,initial,2011-12-09,GCST001349,Body measurement,#d53e4f
10690,European,2601.0,22156575.0,Paus T,Brain development,replication,2011-12-09,GCST001349,Body measurement,#d53e4f
10691,Other/Mixed,11163.0,22028671.0,Surakka I,Lipid traits,replication,2011-10-20,GCST001289,Lipid or lipoprotein measurement,#99d594
10692,European,11509.0,22028671.0,Surakka I,Lipid traits,replication,2011-10-20,GCST001289,Lipid or lipoprotein measurement,#d53e4f
10693,European,32225.0,22028671.0,Surakka I,Lipid traits,initial,2011-10-20,GCST001289,Lipid or lipoprotein measurement,#d53e4f
10694,Other/Mixed,11163.0,22028671.0,Surakka I,Lipid traits,replication,2011-10-20,GCST001289,Other measurement,#99d594
10695,European,11509.0,22028671.0,Surakka I,Lipid traits,replication,2011-10-20,GCST001289,Other measurement,#d53e4f
10696,European,32225.0,22028671.0,Surakka I,Lipid traits,initial,2011-10-20,GCST001289,Other measurement,#d53e4f
10697,European,598.0,22013104.0,Melka MG,Obesity-related traits,initial,2011-10-19,GCST001288,Other measurement,#d53e4f
10698,European,598.0,22013104.0,Melka MG,Obesity-related traits,initial,2011-10-19,GCST001288,Liver enzyme measurement,#d53e4f
10699,European,598.0,22013104.0,Melka MG,Obesity-related traits,initial,2011-10-19,GCST001288,Body measurement,#d53e4f
10700,European,598.0,22013104.0,Melka MG,Obesity-related traits,initial,2011-10-19,GCST001288,Cardiovascular measurement,#d53e4f
10701,European,598.0,22013104.0,Melka MG,Obesity-related traits,initial,2011-10-19,GCST001288,Inflammatory measurement,#d53e4f
10702,European,598.0,22013104.0,Melka MG,Obesity-related traits,initial,2011-10-19,GCST001288,Lipid or lipoprotein measurement,#d53e4f
10703,European,598.0,22013104.0,Melka MG,Obesity-related traits,initial,2011-10-19,GCST001288,Biological process,#d53e4f
10704,European,598.0,22013104.0,Melka MG,Obesity-related traits,initial,2011-10-19,GCST001288,Metabolic disorder,#d53e4f
10705,European,4374.0,22012869.0,Hinney A,Attention deficit hyperactivity disorder,replication,2011-10-19,GCST001287,Neurological disorder,#d53e4f
10706,European,1795.0,22012869.0,Hinney A,Attention deficit hyperactivity disorder,initial,2011-10-19,GCST001287,Neurological disorder,#d53e4f
10707,European,2410.0,22010048.0,Wu X,Renal cell carcinoma,initial,2011-10-18,GCST001283,Cancer,#d53e4f
10708,European,12277.0,22010048.0,Wu X,Renal cell carcinoma,replication,2011-10-18,GCST001283,Cancer,#d53e4f
10710,European,1190.0,22005931.0,Kamboh MI,Alzheimer's disease (age of onset),initial,2011-10-18,GCST001280,Neurological disorder,#d53e4f
10712,European,1190.0,22005931.0,Kamboh MI,Alzheimer's disease (age of onset),initial,2011-10-18,GCST001280,Other measurement,#d53e4f
10713,Asian,1286.0,21989058.0,Qin Y,Premature ovarian failure,initial,2011-10-18,GCST001284,Other disease,#3288bd
10714,Asian,1200.0,21989058.0,Qin Y,Premature ovarian failure,replication,2011-10-18,GCST001284,Other disease,#3288bd
10715,European,3501.0,22004471.0,Frank J,Alcohol dependence,initial,2011-10-18,GCST001281,Other measurement,#d53e4f
10716,European,3501.0,22004471.0,Frank J,Alcohol dependence,initial,2011-10-18,GCST001281,Neurological disorder,#d53e4f
10717,Other/Mixed,2.0,22005930.0,Hollingworth P,Psychosis in Alzheimer's disease,initial,2011-10-18,GCST001282,Neurological disorder,#99d594
10718,African Am./Caribbean,12.0,22005930.0,Hollingworth P,Psychosis in Alzheimer's disease,initial,2011-10-18,GCST001282,Neurological disorder,#fee08b
10719,European,2020.0,22005930.0,Hollingworth P,Psychosis in Alzheimer's disease,initial,2011-10-18,GCST001282,Neurological disorder,#d53e4f
10720,Other/Mixed,2.0,22005930.0,Hollingworth P,Psychosis in Alzheimer's disease,initial,2011-10-18,GCST001282,Other trait,#99d594
10721,African Am./Caribbean,12.0,22005930.0,Hollingworth P,Psychosis in Alzheimer's disease,initial,2011-10-18,GCST001282,Other trait,#fee08b
10722,European,2020.0,22005930.0,Hollingworth P,Psychosis in Alzheimer's disease,initial,2011-10-18,GCST001282,Other trait,#d53e4f
10723,European,6944.0,22005930.0,Hollingworth P,Psychosis and Alzheimer's disease,initial,2011-10-18,GCST001285,Neurological disorder,#d53e4f
10724,Other/Mixed,2.0,22005930.0,Hollingworth P,Psychosis and Alzheimer's disease,initial,2011-10-18,GCST001285,Neurological disorder,#99d594
10725,African Am./Caribbean,12.0,22005930.0,Hollingworth P,Psychosis and Alzheimer's disease,initial,2011-10-18,GCST001285,Neurological disorder,#fee08b
10726,European,6944.0,22005930.0,Hollingworth P,Psychosis and Alzheimer's disease,initial,2011-10-18,GCST001285,Other trait,#d53e4f
10727,Other/Mixed,2.0,22005930.0,Hollingworth P,Psychosis and Alzheimer's disease,initial,2011-10-18,GCST001285,Other trait,#99d594
10728,African Am./Caribbean,12.0,22005930.0,Hollingworth P,Psychosis and Alzheimer's disease,initial,2011-10-18,GCST001285,Other trait,#fee08b
10729,Asian,192.0,22174901.0,Chan KY,Hepatocellular carcinoma,initial,2011-12-08,GCST001348,Cancer,#3288bd
10730,Asian,1228.0,22174901.0,Chan KY,Hepatocellular carcinoma,replication,2011-12-08,GCST001348,Cancer,#3288bd
10731,European,6032.0,22144573.0,O'Donnell CJ,Coronary artery calcification,replication,2011-12-05,GCST001347,Other trait,#d53e4f
10732,European,9961.0,22144573.0,O'Donnell CJ,Coronary artery calcification,initial,2011-12-05,GCST001347,Other trait,#d53e4f
10733,European,294.0,22142827.0,Innocenti F,Response to gemcitabine in pancreatic cancer,initial,2011-12-05,GCST001346,Response to drug,#d53e4f
10734,European,294.0,22142827.0,Innocenti F,Response to gemcitabine in pancreatic cancer,initial,2011-12-05,GCST001346,Cancer,#d53e4f
10735,Asian,6068.0,22138694.0,Lin Z,Ankylosing spondylitis,initial,2011-12-04,GCST001345,Immune system disorder,#3288bd
10736,Asian,5596.0,22138694.0,Lin Z,Ankylosing spondylitis,replication,2011-12-04,GCST001345,Immune system disorder,#3288bd
10737,European,927.0,22140272.0,Dalgaard MD,Testicular dysgenesis syndrome,initial,2011-12-03,GCST001344,Other disease,#d53e4f
10738,European,671.0,22140272.0,Dalgaard MD,Testicular dysgenesis syndrome,replication,2011-12-03,GCST001344,Other disease,#d53e4f
10740,European,2810.0,22130093.0,Nam RK,Prostate cancer,replication,2011-12-01,GCST001338,Cancer,#d53e4f
10741,Asian,189.0,22130093.0,Nam RK,Prostate cancer,replication,2011-12-01,GCST001338,Cancer,#3288bd
10742,Other/Mixed,129.0,22130093.0,Nam RK,Prostate cancer,replication,2011-12-01,GCST001338,Cancer,#99d594
10743,African,311.0,22130093.0,Nam RK,Prostate cancer,replication,2011-12-01,GCST001338,Cancer,#fc8d59
10744,African Am./Caribbean,1009.0,22159054.0,Logue MW,Alzheimer's disease,initial,2011-12-01,GCST001342,Neurological disorder,#fee08b
10745,European,17698.0,22190364.0,Patsopoulos NA,Multiple sclerosis,initial,2011-12-01,GCST001341,Immune system disorder,#d53e4f
10746,European,76.0,22105264.0,Allen-Brady K,Pelvic organ prolapse,replication,2011-12-01,GCST001340,Other disease,#d53e4f
10747,European,3091.0,22105264.0,Allen-Brady K,Pelvic organ prolapse,initial,2011-12-01,GCST001340,Other disease,#d53e4f
10748,European,6095.0,22116812.0,Schrijvers EM,Vascular dementia,replication,2011-11-23,GCST001328,Cardiovascular disease,#d53e4f
10749,European,5700.0,22116812.0,Schrijvers EM,Vascular dementia,initial,2011-11-23,GCST001328,Cardiovascular disease,#d53e4f
10751,European,1073.0,22105620.0,Papassotiropoulos A,Memory performance,initial,2011-11-22,GCST001327,Other measurement,#d53e4f
10752,African Am./Caribbean,1683.0,22101970.0,Kho AN,Type 2 diabetes,initial,2011-11-19,GCST001326,Metabolic disorder,#fee08b
10753,European,4805.0,22101970.0,Kho AN,Type 2 diabetes,initial,2011-11-19,GCST001326,Metabolic disorder,#d53e4f
10754,European,707.0,22095909.0,Lange CM,Response to hepatitis C treatment,initial,2011-11-16,GCST001325,Digestive system disorder,#d53e4f
10755,African Am./Caribbean,619.0,22085899.0,Chen G,Bilirubin levels,initial,2011-11-16,GCST001324,Other measurement,#fee08b
10756,European,327.0,22086417.0,Cozen W,Nodular sclerosis Hodgkin lymphoma,replication,2011-11-15,GCST001323,Cancer,#d53e4f
10757,European,3708.0,22086417.0,Cozen W,Nodular sclerosis Hodgkin lymphoma,initial,2011-11-15,GCST001323,Cancer,#d53e4f
10758,European,822.0,22833209.0,Hu X,Rate of cognitive decline in mild cognitive impairment (time interaction),initial,2011-11-15,GCST004371,Other measurement,#d53e4f
10759,European,822.0,22833209.0,Hu X,Rate of cognitive decline in mild cognitive impairment (time interaction),initial,2011-11-15,GCST004371,Other trait,#d53e4f
10760,European,6657.0,22081228.0,Khor CC,Kawasaki disease,initial,2011-11-13,GCST001322,Immune system disorder,#d53e4f
10761,Other/Mixed,405.0,22081228.0,Khor CC,Kawasaki disease,replication,2011-11-13,GCST001322,Immune system disorder,#99d594
10762,Asian,2540.0,22081228.0,Khor CC,Kawasaki disease,replication,2011-11-13,GCST001322,Immune system disorder,#3288bd
10763,European,1954.0,22081228.0,Khor CC,Kawasaki disease,replication,2011-11-13,GCST001322,Immune system disorder,#d53e4f
10764,European,825.0,22072270.0,Wang KS,Alcohol withdrawal symptoms,replication,2011-11-11,GCST001319,Neurological disorder,#d53e4f
10765,European,869.0,22072270.0,Wang KS,Alcohol withdrawal symptoms,initial,2011-11-11,GCST001319,Neurological disorder,#d53e4f
10766,African,1487.0,22037903.0,Crosslin DR,White blood cell count,initial,2011-10-30,GCST001302,Hematological measurement,#fc8d59
10767,European,12046.0,22037903.0,Crosslin DR,White blood cell count,initial,2011-10-30,GCST001302,Hematological measurement,#d53e4f
10768,African,1487.0,22037903.0,Crosslin DR,White blood cell count,initial,2011-10-30,GCST001302,Inflammatory measurement,#fc8d59
10769,European,12046.0,22037903.0,Crosslin DR,White blood cell count,initial,2011-10-30,GCST001302,Inflammatory measurement,#d53e4f
10770,Asian,10218.0,22037555.0,Shi Y,Schizophrenia,initial,2011-10-30,GCST001301,Neurological disorder,#3288bd
10771,Asian,8922.0,22037555.0,Shi Y,Schizophrenia,replication,2011-10-30,GCST001301,Neurological disorder,#3288bd
10772,European,612.0,22032556.0,Brockschmidt FF,Male-pattern baldness,replication,2011-10-27,GCST001297,Other measurement,#d53e4f
10773,European,1198.0,22032556.0,Brockschmidt FF,Male-pattern baldness,initial,2011-10-27,GCST001297,Other measurement,#d53e4f
10774,European,612.0,22032556.0,Brockschmidt FF,Male-pattern baldness,replication,2011-10-27,GCST001297,Other disease,#d53e4f
10775,European,1198.0,22032556.0,Brockschmidt FF,Male-pattern baldness,initial,2011-10-27,GCST001297,Other disease,#d53e4f
10776,European,3012.0,22027810.0,Forstbauer LM,Alopecia areata,replication,2011-10-26,GCST001295,Other disease,#d53e4f
10777,European,1385.0,22027810.0,Forstbauer LM,Alopecia areata,initial,2011-10-26,GCST001295,Other disease,#d53e4f
10778,European,501.0,22030708.0,Menke A,Suicidal ideation,replication,2011-10-26,GCST001296,Biological process,#d53e4f
10779,European,397.0,22030708.0,Menke A,Suicidal ideation,initial,2011-10-26,GCST001296,Biological process,#d53e4f
10780,European,501.0,22030708.0,Menke A,Suicidal ideation,replication,2011-10-26,GCST001296,Other measurement,#d53e4f
10781,European,397.0,22030708.0,Menke A,Suicidal ideation,initial,2011-10-26,GCST001296,Other measurement,#d53e4f
10782,Other/Mixed,1772.0,22029572.0,Simonson MA,Cardiovascular disease risk factors,initial,2011-10-26,GCST001294,Liver enzyme measurement,#99d594
10783,Other/Mixed,1772.0,22029572.0,Simonson MA,Cardiovascular disease risk factors,initial,2011-10-26,GCST001294,Cardiovascular measurement,#99d594
10784,Other/Mixed,1772.0,22029572.0,Simonson MA,Cardiovascular disease risk factors,initial,2011-10-26,GCST001294,Other measurement,#99d594
10785,Other/Mixed,1772.0,22029572.0,Simonson MA,Cardiovascular disease risk factors,initial,2011-10-26,GCST001294,Other disease,#99d594
10786,Other/Mixed,1772.0,22029572.0,Simonson MA,Cardiovascular disease risk factors,initial,2011-10-26,GCST001294,Lipid or lipoprotein measurement,#99d594
10787,Other/Mixed,1772.0,22029572.0,Simonson MA,Cardiovascular disease risk factors,initial,2011-10-26,GCST001294,Inflammatory measurement,#99d594
10788,Asian,8600.0,22019778.0,Zhang F,Leprosy,replication,2011-10-23,GCST001292,Neurological disorder,#3288bd
10789,Asian,6287.0,22019778.0,Zhang F,Leprosy,initial,2011-10-23,GCST001292,Neurological disorder,#3288bd
10790,Asian,2506.0,22019779.0,Takahashi Y,Scoliosis,initial,2011-10-23,GCST001293,Other disease,#3288bd
10791,Asian,10149.0,22019779.0,Takahashi Y,Scoliosis,replication,2011-10-23,GCST001293,Other disease,#3288bd
10792,African Am./Caribbean,20809.0,22021425.0,Carty CL,Height,replication,2011-10-21,GCST001290,Other measurement,#fee08b
10793,African Am./Caribbean,8149.0,22021425.0,Carty CL,Height,initial,2011-10-21,GCST001290,Other measurement,#fee08b
10794,African Am./Caribbean,20809.0,22021425.0,Carty CL,Height,replication,2011-10-21,GCST001290,Body measurement,#fee08b
10795,African Am./Caribbean,8149.0,22021425.0,Carty CL,Height,initial,2011-10-21,GCST001290,Body measurement,#fee08b
10798,European,12347.0,22036096.0,Ramasamy A,IgE grass sensitization,initial,2011-11-01,GCST001303,Immune system disorder,#d53e4f
10799,European,12898.0,22036096.0,Ramasamy A,Allergic rhinitis,initial,2011-11-01,GCST001310,Immune system disorder,#d53e4f
10800,Other/Mixed,418.0,22295569.0,Karunas AS,Asthma,replication,2011-11-01,GCST001306,Other disease,#99d594
10801,Other/Mixed,678.0,22295569.0,Karunas AS,Asthma,initial,2011-11-01,GCST001306,Other disease,#99d594
10802,European,12526.0,22010049.0,Middelberg RP,Gamma glutamyl transferase levels,initial,2011-11-01,GCST001307,Liver enzyme measurement,#d53e4f
10803,African Am./Caribbean,288.0,22041458.0,Clark SL,Response to anti-depressant treatment in major depressive disorder,initial,2011-11-01,GCST001308,Response to drug,#fee08b
10804,European,1151.0,22041458.0,Clark SL,Response to anti-depressant treatment in major depressive disorder,initial,2011-11-01,GCST001308,Response to drug,#d53e4f
10805,African Am./Caribbean,288.0,22041458.0,Clark SL,Response to anti-depressant treatment in major depressive disorder,initial,2011-11-01,GCST001308,Other trait,#fee08b
10806,European,1151.0,22041458.0,Clark SL,Response to anti-depressant treatment in major depressive disorder,initial,2011-11-01,GCST001308,Other trait,#d53e4f
10807,European,395.0,22051697.0,Du R,Asthma,initial,2011-11-01,GCST001309,Other disease,#d53e4f
10808,Hispanic/Latin American,584.0,22051697.0,Du R,Asthma,replication,2011-11-01,GCST001309,Other disease,#807dba
10809,European,2809.0,22044751.0,Foster MC,Renal sinus fat,initial,2011-11-01,GCST001304,Other measurement,#d53e4f
10810,Asian,3279.0,22037551.0,Shi Y,Gastric cancer,initial,2011-10-30,GCST001300,Cancer,#3288bd
10811,Asian,6897.0,22037551.0,Shi Y,Gastric cancer,replication,2011-10-30,GCST001300,Cancer,#3288bd
10812,Other/Mixed,17607.0,21946351.0,Stacey SN,Basal cell carcinoma,replication,2011-09-25,GCST001250,Cancer,#99d594
10813,European,41735.0,21946351.0,Stacey SN,Basal cell carcinoma,initial,2011-09-25,GCST001250,Cancer,#d53e4f
